ID pregunta,Historia inglés,Pregunta inglés,Respuesta inglés,Historia español,
612a2aa39c7e8685aff7c4efb0d67d721f882dd6.4,"Her ex-husband strongly denied that he ever physically or mentally abused Murphy, whom he married in {1978} soon after they met as teenagers in college.",What year did she marry her abuser ?,1978,"Su ex-marido negó firmemente que alguna vez abusara física o mentalmente de Murphy, con quien se casó en {1978} poco después de que se conocieron como adolescentes en la universidad.",
90aa53349401856571e1e749155772af132a8ff6.1,"Since the vote, Iran has seen {turmoil not witnessed since the 1979 Islamic revolution} as thousands have taken to the streets to protest and security forces have brutally cracked down.",What has Iran seen ?,turmoil not witnessed since the 1979 Islamic revolution,"Desde la votación, Irán {no ha presenciado disturbios desde la revolución islámica de 1979}, ya que miles han salido a las calles para protestar y las fuerzas de seguridad han reprimido brutalmente.",
91607b09ab00b8dff5d7b98387ed132a44d8b61b.7,"Musharraf, who seized power in a 1999 coup, has been living in London and Dubai since resigning in {2008}. He had announced plans to return from exile in late January and run in upcoming elections -- but his party said he was reassessing those plans when Pakistan's elected government warned that if he returned, he faced arrest in connection with the 2007 assassination of former Prime Minister Benazir Bhutto.",When did Musharraf resign ?,2008,"Musharraf, que tomó el poder en un golpe de estado de 1999, ha estado viviendo en Londres y Dubai desde que renunció en {2008}. Había anunciado planes para regresar del exilio a finales de enero y presentarse a las próximas elecciones, pero su partido dijo que estaba reevaluando esos planes cuando el gobierno electo de Pakistán advirtió que si regresaba, se enfrentaba al arresto en relación con el asesinato en 2007 del ex primer ministro Benazir Bhutto.",
9b4f5a46c81a21bbdc8d3295e9ccdb35326def43.6,The Central Park Boathouse {East 60th Street},Where is the boathouse,East 60th Street,Central Park Boathouse {East 60th Street},
1aceea48124b61523034375f54235909443ca8a1.5,"(CNN) -- {A man authorities believe has robbed at least 10 banks in at least four states was arrested} in Missouri after a retired state trooper saw him and learned he was wanted, authorities said Sunday.",What happened in Kingdom City Missouri ?,A man authorities believe has robbed at least 10 banks in at least four states was arrested,"(CNN) -- {Un hombre que las autoridades creen que ha robado al menos 10 bancos en al menos cuatro estados fue arrestado} en Missouri después de que un soldado estatal retirado lo vio y se enteró de que era buscado, dijeron las autoridades el domingo.",
b401be43092ba251abd1aeca4472921ea2d901fe.1,"NEW YORK (CNN) -- Former New York City police Commissioner Bernard Kerik pleaded not guilty in federal court Monday to a revised indictment charging him in a {corruption and tax evasion} case, according to a spokesman for the New York District Attorney.",What is Kerik accused of ?,corruption and tax evasion,"NUEVA YORK (CNN) -- El ex comisionado de la policía de Nueva York, Bernard Kerik, se declaró inocente en la corte federal el lunes de una acusación revisada que lo acusaba en un caso de {corrupción y evasión de impuestos}, según un portavoz del Fiscal del Distrito de Nueva York.",
63f9da9327c1ee87a906133f7d19ef72f55332e5.9,"(CNN) -- The news editor of the Zambian newspaper The Post has gone on trial for allegedly circulating {obscene material} to politicians, the newspaper states on its Web site.",what was circulating,obscene material,"(CNN) -- El editor de noticias del periódico zambiano The Post ha sido juzgado por supuestamente distribuir {material obsceno} a políticos, dice el periódico en su sitio web.",
f6f1674e90735788a379df95cc5209f431e9c2ce.2,"All of this was rattling around in my head when I saw {the Marines} riding around in what they call ""a 7-ton truck."" As the name suggests, it's huge and has some armor plating on the sides. But what it doesn't make clear is that the truck is open in the back and sides. The Marines insist it is a safe way to transport troops.",Who often travel in `` 7-ton truck '' that 's open in the back and sides ?,the Marines,"Todo esto estaba revoloteando en mi cabeza cuando vi a {los Marines} dando vueltas en lo que llaman ""un camión de 7 toneladas"". Como su nombre sugiere, es enorme y tiene algunas armaduras en los lados. Pero lo que no deja claro es que el camión está abierto en la parte trasera y los lados. Los Marines insisten en que es una forma segura de transportar tropas.",
cd69c6b1ae6ec892b25c041acf273df73a7cedd5.4,"Nepal, {56}, is a former general secretary of the Communist Party, but had resigned after the party made a poor showing last year against another Communist movement.",What is Nepal 's age ?,56,"Nepal, de {56} años, es un ex secretario general del Partido Comunista, pero había dimitido después de que el partido hiciera una pobre presentación el año pasado contra otro movimiento comunista.",
322270fe8c74098a3003ec4685bfabaf3aaf790a.1,"LOS ANGELES, California (CNN) -- {Investigators are looking into whether employees at the Los Angeles County coroner's office illegally leaked information about Michael} Jackson's death probe to the news media, according to a sheriff's spokesman.",What did the sheriff say about Jackson 's death ?,Investigators are looking into whether employees at the Los Angeles County coroner 's office illegally leaked information about Michael,"LOS ÁNGELES, California (CNN) -- {Los investigadores están investigando si los empleados de la oficina del forense del condado de Los Ángeles filtraron ilegalmente información sobre la sonda de la muerte de Michael} Jackson a los medios de comunicación, según un portavoz del sheriff.",
3fca9a7334698cf129de02e53c3c68de3e06ce6a.4,"(CNN) -- Sonic {booms and at least one fireball} in the sky were reported in Texas on Sunday, less than a week after two satellites collided in space and a day after the Federal Aviation Administration asked U.S. pilots to watch for ""falling space debris,"" authorities said.",What types of sightings were reported ?,booms and at least one fireball,"(CNN) -- El domingo se reportaron {booms sonoros y al menos una bola de fuego} en el cielo en Texas, menos de una semana después de que dos satélites chocaran en el espacio y un día después de que la Administración Federal de Aviación pidiera a los pilotos estadounidenses que vigilaran por ""caer desechos espaciales"", dijeron las autoridades.",
78a669ab733b60d29ddaba3cd82e09e8b9e05b2c.9,A near-capacity crowd filled the Dubai Sports City Cricket Stadium as the venue hosted international {cricket} for the first time.,Beat Australia at what ?,cricket,Una multitud cercana a la capacidad llenó el Dubai Sports City Cricket Stadium como sede del {cricket} internacional por primera vez.,
d98865741a61a1590113fc32b9b0e60a90d1c8e1.1,"President Dmitry Medvedev announced the measures just two weeks ago, in his first state-of-the-nation speech {on November 5}.",When did Medvedev announce the measures ?,on November 5,"El presidente Dmitry Medvedev anunció las medidas hace apenas dos semanas, en su primer discurso sobre el estado de la nación {el 5 de noviembre}.",
6d132e19242bcc5d25032d6a726486970190d059.4,The cancellation of the England-to-France express train service {stranded thousands of passengers on both sides of the English Channel on the weekend before Christmas}.,What is the consequence of the cancellation of England-to-France express train service ?,stranded thousands of passengers on both sides of the English Channel on the weekend before Christmas,La cancelación del servicio de tren expreso de Inglaterra a Francia {dejó a miles de pasajeros a ambos lados del Canal de la Mancha el fin de semana antes de Navidad}.,
998e1d912abbe393ef44e61d60fbafbf431b3981.1,"WASHINGTON (CNN) -- President Barack Obama weighed in Thursday on the conflict between Israel and Hamas, urging Israel to open {Gaza} border crossings and telling the Islamic fundamentalist organization to stop rocket fire into the Jewish state.",Where are the border crossings ?,Gaza,"WASHINGTON (CNN) - El presidente Barack Obama sopesó el jueves el conflicto entre Israel y Hamas, instando a Israel a abrir los cruces fronterizos de {Gaza} y diciéndole a la organización fundamentalista islámica que detenga el fuego de cohetes contra el estado judío.",
33ea674fce31a87721283b7f6dd78d1753a4aac8.9,"(CNN) -- The woman and children held captive {in a cellar} for years by their incestuous father will take years to recover from their disturbing ordeal, doctors warned Wednesday as the family at the center of the case remained in psychiatric care.",Being kept where means children may not lead normal lives ?,in a cellar,"(CNN) -- La mujer y los niños retenidos {en un sótano} durante años por su padre incestuoso tardarán años en recuperarse de su terrible experiencia, los médicos advirtieron el miércoles que la familia en el centro del caso permanecía en el cuidado psiquiátrico.",
d2fb77380bb64b1819201e52ddaedb9118d7d824.3,"While pregnant with Ginny in the mid-1960s her mom had taken a synthetic estrogen known as diethylstilbestrol ({DES}), which at the time was prescribed to prevent miscarriages and complications. Later that decade, however, doctors connected the drug to a rare form of vaginal cancer that was turning up in young women exposed to {DES} in the womb.",what did exposed to drug in the womb ?,DES,"Mientras estaba embarazada de Ginny a mediados de la década de 1960, su madre había tomado un estrógeno sintético conocido como dietilstilbestrol ({DES}), que en ese momento se prescribió para prevenir abortos espontáneos y complicaciones. Más tarde en esa década, sin embargo, los médicos conectaron el medicamento a una rara forma de cáncer vaginal que estaba apareciendo en mujeres jóvenes expuestas a {DES} en el útero.",
a8c88f6601d733b2586674c6777d26f24fc0abc1.5,"Bolivia's first indigenous president credited his five-day hunger strike for the decision, which came after an all-night debate. ""That effort has not been in vain,"" the leftist leader said as he approved the law, which calls for general elections to be held on {December. 6}.",When is the date of the general election ?,December . 6,"El primer presidente indígena de Bolivia atribuyó su huelga de hambre de cinco días por la decisión, que vino después de un debate de toda la noche. ""Ese esfuerzo no ha sido en vano"", dijo el líder de izquierda al aprobar la ley, que pide que las elecciones generales se celebren {el 6 de diciembre}.",
dde1da045f31072dd1faedf94793fe1899b929ec.9,"{Fourteen} guards were fired and the entire management team for ArmorGroup in Kabul was to be replaced, the U.S. Embassy in Kabul said.",How many guards were fired ?,Fourteen,"{Catorce} guardias fueron despedidos y todo el equipo directivo de ArmorGroup en Kabul iba a ser reemplazado, dijo la Embajada de Estados Unidos en Kabul.",
d141f123ce7ae90c6297eea603862bef2bc3d805.8,British Prime Minister Gordon Brown issued a heartfelt message of support for the {NHS} via Twitter.,What organization offers free health care to UK people ?,NHS,El primer ministro británico Gordon Brown emitió un mensaje sincero de apoyo al {NHS} a través de Twitter.,
8066899f5d5b89bd4486b680a1ff3f2d02a6e2f7.1,"""Anna was the center of a cruel tabloid feeding frenzy,"" Eroshevich's attorney, Adam Braun, told CNN in a statement Monday. ""In the face of this, Dr. Eroshevich did her best to help the patient while protecting what little privacy Anna had left. Any {actions were done with the patient's well-being in} mind and were certainly not criminal.""",What did the doctor have in mind ?,actions were done with the patient 's well-being in,"""Anna fue el centro de un cruel frenesí de alimentación tabloides"", dijo el abogado de Eroshevich, Adam Braun, a CNN en una declaración el lunes. ""Ante esto, el Dr. Eroshevich hizo todo lo posible para ayudar al paciente mientras protegía la poca privacidad que le quedaba a Anna. Cualquier {acción se hizo teniendo en cuenta el bienestar del paciente} y ciertamente no fue criminal"".",
458f0587d9af18f8af18975eed4ee7f2452eca6a.6,"""His 'Helga' pictures, a large group of intimate portraits of a neighbor, painted over many years, were first shown {publicly in 1986},"" the InfoPlease biography says. Those were painted in Pennsylvania.",When were his `` Helga '' portraits first shown ?,publicly in 1986,"""Sus cuadros 'Helga', un gran grupo de retratos íntimos de un vecino, pintados a lo largo de muchos años, fueron mostrados {públicamente por primera vez en 1986}"", dice la biografía de InfoPlease.",
57134ae4deea60bd791ff29e6678a8f9b4edc52c.5,The film -- based on a Tony Award- and Pulitzer Prize-winning play by the same name -- examines what happens when {a strict nun who heads a Catholic school} in the Bronx suspects a charismatic priest of having an inappropriate relationship with a student.,What is this movie about ?,a strict nun who heads a Catholic school,"La película, basada en un premio Tony y en una obra del mismo nombre que ganó el Premio Pulitzer, examina lo que sucede cuando {una monja estricta que dirige una escuela católica} en el Bronx sospecha que un sacerdote carismático tiene una relación inapropiada con un estudiante.",
27af664a38a64b6588b320b8e93c3d6a033f013d.5,(CNN) -- {Former champion} Maria Sharapova has been seeded for next week's Wimbledon championships.,Who is Maria Sharapova ?,Former champion,(CNN) -- {La ex campeona} Maria Sharapova ha sido sembrada para los campeonatos de Wimbledon de la próxima semana.,
b5313efdec6d9afa6f43f26378c6065fcc9c7535.5,It was Pet Fashion Week New York and these {canines} were not wearing the boring plaid raincoats that have sold for years. They were wearing one-of-kind design creations.,What ruled in New York ?,canines,Fue Pet Fashion Week Nueva York y estos {caninos} no llevaban los aburridos impermeables de cuadros que han vendido durante años. Llevaban creaciones de diseño únicas.,
7782497fde9b79b85bb2519b22e0ebab2e0dc4cd.2,"Lauder died from {complications of ovarian cancer} at her home with her family by her side, the company said.",What was Evelyn Lauder 's cause of death ?,complications of ovarian cancer,"Lauder murió de {complicaciones de cáncer de ovario} en su casa con su familia a su lado, dijo la compañía.",
64707187d0a7ec0591c0f41ebd37f98f57846e8c.6,"On Thursday, {U.S. Secretary of State Condoleezza Rice} is set to meet with Turkish officials in Ankara and President Bush holds talks in Washington with Turkish Prime Minister Recep Tayyip Erdogan.",Who is meeting with Turk officials ?,U.S. Secretary of State Condoleezza Rice,"El jueves, {la Secretaria de Estado de Estados Unidos, Condoleezza Rice}, se reunirá con funcionarios turcos en Ankara y el presidente Bush mantiene conversaciones en Washington con el primer ministro turco, Recep Tayyip Erdogan.",
2bf59300cea5e1a5dfb0fb705d5fc38e8aab59f1.2,{Lansana Conte} came to power in a military coup in 1984.,Who has just died ?,Lansana Conte,{Lansana Conte} llegó al poder en un golpe militar en 1984.,
255d3ffd5f245624abcccdcd39f473b2e9b774b8.6,"{Petty Officer Jonathan Campos} was found dead in the brig at the Marine Corps Base Camp Pendleton in San Diego, a military statement said.",Who was found dead ?,Petty Officer Jonathan Campos,"{El contramaestre Jonathan Campos} fue encontrado muerto en el calabozo en el campamento de base del Cuerpo de Marines Pendleton en San Diego, según una declaración militar.",
663ed18b7a9de6d22120d9098ca6eb94b7f434f5.8,"Officials of Moscow's gay community had announced earlier plans to rally at {Novopushkinsky Park in central Moscow}, Interfax said.",Where are the demonstrators meeting ?,Novopushkinsky Park in central Moscow,"Funcionarios de la comunidad gay de Moscú habían anunciado planes anteriores para reunirse en el {Parque Novopushkinsky en el centro de Moscú}, dijo Interfax.",
1f4603ad3ef986c557014f69422a92e345e3c9a8.9,"Riley Ann's case garnered national headlines after a fisherman found her body on the island in the bay. Authorities were unsure of her identity, and police dubbed her ""{Baby Grace}."" Police distributed composite sketches of the girl nationwide, and Sheryl Sawyers, the girl's paternal grandmother, contacted police from her Ohio home to say the drawing resembled her granddaughter. DNA testing confirmed the child's identity.",What is the child known as ?,Baby Grace,"El caso de Riley Ann obtuvo titulares nacionales después de que un pescador encontrara su cuerpo en la isla en la bahía. Las autoridades no estaban seguras de su identidad, y la policía la llamó ""{Bebé Grace}"". La policía distribuyó bocetos compuestos de la niña en todo el país, y Sheryl Sawyers, la abuela paterna de la niña, contactó a la policía desde su casa en Ohio para decir que el dibujo se parecía a su nieta.",
8703f8e66ae6405f2bf2d40723298fff515e277d.5,"(CNN) -- There are few cities in the world blessed with a more beautiful setting than Seattle. It is {surrounded by rugged green wilderness; to the west the Olympic Mountains, to the east the volcanoes and glaciers of the Cascade Range, and all around the brisk waters of the Northwest}.",What is great about its location ?,"surrounded by rugged green wilderness ; to the west the Olympic Mountains , to the east the volcanoes and glaciers of the Cascade Range , and all around the brisk waters of the Northwest","(CNN) -- Hay pocas ciudades en el mundo bendecidas con un entorno más hermoso que Seattle. Está {rodeado de escarpada naturaleza verde; al oeste las montañas olímpicas, al este los volcanes y glaciares de la Cordillera de Cascada, y todo alrededor de las aguas rápidas del Noroeste}.",
25a892ac9ba22a2f0fc6cd9a6577f84dcdc0bb2b.1,"When {People} magazine asked her about it in 2005, she chose her words carefully:",what magazine reported this,People,"Cuando la revista {People} le preguntó sobre ello en 2005, escogió cuidadosamente sus palabras:",
3eba518b1822e9cc8bc59317a1d3b749386adf43.9,"The survey indicates that only {18 percent} said the economic conditions in the country today are good, down 3 points from August. Eighty-two percent said economic conditions are poor.",How many people say economic conditions are good ?,18 percent,"La encuesta indica que sólo el {18 por ciento} dijo que las condiciones económicas en el país hoy son buenas, 3 puntos menos a partir de agosto. El 82 por ciento dijo que las condiciones económicas son malas.",
d22da5c151ad9d8ac0ff4cf6c860e4e87e108025.1,(CNN) -- World No. 2 {Novak Djokovic} suffered a shock defeat by sixth seed Mikhail Youzhny in the semifinals of the World Tennis Tournament in Rotterdam on Saturday.,who was defeated in world tennis tournament ?,Novak Djokovic,(CNN) -- El Mundial {Novak Djokovic} sufrió una derrota de choque por la sexta semilla Mikhail Youzhny en las semifinales del Torneo Mundial de Tenis en Rotterdam el sábado.,
bb3b2761d6c1fd923bdfe5b2400a08609478a0d6.8,"Ercis, Turkey (CNN) -- The death toll from the massive earthquake that shook eastern Turkey over the weekend rose to 535 Thursday, up from 471 the day before, but crews have been {able to rescue 185} people alive from the rubble, Turkish officials said.",Have people been rescued alive ?,able to rescue 185,"Ercis, Turquía (CNN) -- El número de muertos por el terremoto masivo que sacudió al este de Turquía durante el fin de semana aumentó a 535 el jueves, desde 471 el día anterior, pero las tripulaciones {han podido rescatar a 185} personas vivas de los escombros, dijeron funcionarios turcos.",
d02798f3c750b8f7e4afc3ae545e9ddf40540a9c.4,(UWIRE) -- A Web site developed th{is} year that allows students to share old exams online {is} causing debate among professors about its ethical implications.,Is the site causing debate ?,is,(UWIRE) -- Un sitio web desarrollado este año que permite a los estudiantes compartir exámenes antiguos en línea {está} causando debate entre los profesores sobre sus implicaciones éticas.,"Creo que el primer is, que es parte de this, es un error. "
b4ef558a0ea5a7c1520697cec7e585785bc98bfd.8,"In 1996, President Clinton awarded Fuller the {Presidential Medal of Freedom}, the nation's highest civilian honor, calling Habitat ""the most successful continuous community service project in the history of the United States.""",What medal did he receive in 1996 ?,Presidential Medal of Freedom,"En 1996, el presidente Clinton otorgó a Fuller la {Medalla Presidencial de la Libertad}, el mayor honor civil de la nación, llamando a Hábitat ""el proyecto de servicio comunitario continuo más exitoso en la historia de los Estados Unidos"".",
8a05f8156d7757e3e0f37a330d04db1e556c9371.6,But the U.S. war on terror has some dark secrets and Obama {hasn't really wanted to talk about them}.,Has Obama complied ?,has n't really wanted to talk about them,Pero la guerra estadounidense contra el terrorismo tiene algunos secretos oscuros y Obama {no ha querido hablar de ellos}.,
3277672574a7fd311dee0c1482b9faa8c0d36941.6,"""I know the Queens community is outraged that hate has tainted their streets, and I know they will join with us in helping the local authorities find the {second suspect}.""",What is sought ?,second suspect,"""Sé que la comunidad de Queens está indignada porque el odio ha contaminado sus calles, y sé que se unirán a nosotros para ayudar a las autoridades locales a encontrar al {segundo sospechoso}"".",
06dbe0b5a4d314e8f59551a448b47ea99b16ee56.4,Lay and Freeman could have faced up to {six months in prison} and fines if convicted. They were accused of violating a consent decree banning county school employees from initiating prayers during school events.,how much will be the sentence ?,six months in prison,Lay y Freeman podrían haber enfrentado hasta {seis meses de prisión} y multas si fueran condenados. Fueron acusados de violar un decreto de consentimiento que prohibía a los empleados escolares del condado iniciar oraciones durante los eventos escolares.,
b58189e55d61bc04e2d3a0937c059d94f9aa17e7.1,"Remarkably it will be the {fifth} time in six seasons that the teams are meeting in the final, with each winning two finals apiece prior to May's showpiece.",How many times has Roma faced Milan ?,fifth,"Sorprendentemente será la {quinta} vez en seis temporadas que los equipos se reúnen en la final, con cada uno ganando dos finales cada uno antes de la muestra de mayo.",
6ffc52e56343bfe00af799a6b4cb6ee8c7c8e6ca.1,Police investigators say Taliban or al Qaeda elements could have been involved and they believe the {former minister} was targeted over his supervision of operations against militants in Pakistan's tribal areas including the restive NWFP.,who was the target ?,former minister,"Los investigadores de la policía dicen que los talibanes o elementos de Al Qaeda podrían haber estado involucrados y creen que el {ex ministro} fue blanco de su supervisión de las operaciones contra militantes en las zonas tribales de Pakistán, incluyendo el inquieto NWFP.",
39280855cddc7319a86f51622d68933b8bd15013.4,{Football Fan Zone} presents five reasons why Cristiano Ronaldo should stay at Manchester United and five reasons why he should move to Real Madrid.,Who has urged him to stay ?,Football Fan Zone,{Football Fan Zone} presenta cinco razones por las que Cristiano Ronaldo debería quedarse en el Manchester United y cinco razones por las que debería mudarse al Real Madrid.,
1dd94dd767d0fe671d8414cb3107eac3b5cc052f.7,"JOHANNESBURG, South Africa (CNN) -- Prosecutors dropped corruption charges Monday against South Africa's ruling party president {Jacob Zuma}, who is expected to win the presidential race later this month.","Who denied claims of accepting bribes , money laundering , among others ?",Jacob Zuma,"JOHANNESBURG, Sudáfrica (CNN) -- Los fiscales retiraron los cargos de corrupción el lunes contra el presidente del partido gobernante sudafricano {Jacob Zuma}, quien se espera que gane la carrera presidencial a finales de este mes.",
c3dc2a617f07db375a12bd45d7a8e144b0c8ad1e.5,What the critics don't see is that Obama's loss on the Olympics is America's loss. Any red-blooded American {who loves to see the American flag raised} and the national anthem played when one of our own wins a gold medal should blast the Republicans' giddiness over the loss.,What does he say Americans love to cheer for ?,who loves to see the American flag raised,Lo que los críticos no ven es que la pérdida de Obama en las Olimpiadas es la pérdida de Estados Unidos. Cualquier estadounidense de sangre roja {a quien le encanta ver la bandera americana izada} y el himno nacional jugado cuando uno de los nuestros gana una medalla de oro debería aturdir a los republicanos por la pérdida.,Cuidado con sangre roja. Es de pura sangre. 
14f42d116b19157349d07a9bc31e30eec28a56e7.4,"ATHENS, Greece (CNN) -- Greece's opposition Socialist party on Sunday defeated the incumbent center-right government of Prime Minister Kostas Karamanlis, as Socialist leader {George Papandreou} promised to chart a new course for an economic comeback.",whas is the name of the socialists Leader ?,George Papandreou,"ATENS, Grecia (CNN) -- El partido socialista de oposición de Grecia derrotó el domingo al actual gobierno de centro-derecha del primer ministro Kostas Karamanlis, ya que el líder socialista {George Papandreou} prometió trazar un nuevo rumbo para un regreso económico.",
6444243677df2ff84ac4ee07988874afeefcc626.2,President Bush {announces the U.S. policy allowing cell phones to Cuba at the White House on Wednesday}.,What does Bush call for ?,announces the U.S. policy allowing cell phones to Cuba at the White House on Wednesday,El presidente Bush {anuncia el miércoles en la Casa Blanca la política estadounidense de permitir que los teléfonos celulares lleguen a Cuba}.,
45aa7e6d29ae7c957b4f80ef310df5dbf923fa02.6,Washington (CNN) -- A congressional panel investigating claims the {Dover Air Force Base} Mortuary mishandled the remains of hundreds of fallen U.S. military personnel will meet for the first time Tuesday.,where is the mortuary located ?,Dover Air Force Base,Washington (CNN) - Un panel del Congreso que investiga las afirmaciones de que la morgue de la {Base Aérea de Dover} manejó mal los restos de cientos de soldados estadounidenses caídos se reunirán por primera vez el martes.,
ca892f1ea773a51a406dc3bdc37e3f8f0777aab9.6,"A Jordanian official who did not want to be identified said bin Zeid ""was killed on Wednesday in the line of duty as he was {taking part in a humanitarian mission} carried out by the Jordan Armed Forces in Afghanistan.""",what was he doing,taking part in a humanitarian mission,"Un funcionario jordano que no quería ser identificado dijo que bin Zeid ""fue asesinado el miércoles en cumplimiento de su deber mientras {participaba en una misión humanitaria} llevada a cabo por las Fuerzas Armadas Jordanas en Afganistán"".",
ac56bd50e449bfa1d7b923415afa2ae5f7c83392.1,"""After talking with that juvenile, he {admitted to playing with matches, and accidentally starting the} fire in that area,"" he said. Watch what's next for young suspect »",DId he start the fire ?,"admitted to playing with matches , and accidentally starting the","""Después de hablar con ese menor, {admitió jugar con partidos, y accidentalmente iniciar el} fuego en esa zona"", dijo. Mira lo que sigue para el joven sospechoso »",Cuidado que acá matches es fósforos.
2ff209e1d1a55596857f8ef09c7f1e865637e46e.1,"No one should travel these days without a {camera} in his or her pocket -- to capture all those funny moments that don't always end up in the family scrapbook. Even better, the kids can take charge of creating family vacation Web pages. The experts at Take Great Pictures (www.TakeGreatPictures.com) suggest the Olympus Stylus 770 SW ($379.95) because it is shockproof, waterproof, crushproof and only weights 5.5 ounces. For teens, check out the Casio EX-S880 ($249.95), which comes in bright colors and is about the size of a credit card. The Casio EX also features a YouTube Capture mode so they can upload videos to the Web. The experts suggest the Pentax Optio E40 (under $150) for kids as young as six.",What should people not travel without ?,camera,"Nadie debe viajar estos días sin una {cámara} en su bolsillo -- para capturar todos esos momentos divertidos que no siempre terminan en el álbum de recortes de la familia. Aún mejor, los niños pueden hacerse cargo de la creación de páginas web de vacaciones familiares. Los expertos en Take Great Pictures (www.TakeGreatPictures.com) sugieren el Olympus Stylus 770 SW ($379.95) porque es a prueba de golpes, impermeable, a prueba de aplastamiento y sólo pesa 5,5 onzas. Para los adolescentes, consulte el Casio EX-S880 (249.95 dólares), que viene en colores brillantes y es del tamaño de una tarjeta de crédito. El Casio EX también cuenta con un modo de captura de YouTube para que puedan subir vídeos a la Web. Los expertos sugieren el Pentax Optio E40 (menos de $150) para niños de hasta seis años.",
