ID pregunta,Historia ingl�s,Pregunta ingl�s,Respuesta ingl�s,Historia espa�ol,
663ed18b7a9de6d22120d9098ca6eb94b7f434f5.8,"Officials of Moscow's gay community had announced earlier plans to rally at {Novopushkinsky Park in central Moscow}, Interfax said.",Where are the demonstrators meeting ?,Novopushkinsky Park in central Moscow,"Funcionarios de la comunidad gay de Mosc� hab�an anunciado planes anteriores para reunirse en el {Parque Novopushkinsky en el centro de Mosc�}, dijo Interfax.",
1f4603ad3ef986c557014f69422a92e345e3c9a8.9,"Riley Ann's case garnered national headlines after a fisherman found her body on the island in the bay. Authorities were unsure of her identity, and police dubbed her ""{Baby Grace}."" Police distributed composite sketches of the girl nationwide, and Sheryl Sawyers, the girl's paternal grandmother, contacted police from her Ohio home to say the drawing resembled her granddaughter. DNA testing confirmed the child's identity.",What is the child known as ?,Baby Grace,"El caso de Riley Ann obtuvo titulares nacionales despu�s de que un pescador encontrara su cuerpo en la isla en la bah�a. Las autoridades no estaban seguras de su identidad, y la polic�a la llam� ""{Beb� Grace}"". La polic�a distribuy� bocetos compuestos de la ni�a en todo el pa�s, y Sheryl Sawyers, la abuela paterna de la ni�a, contact� a la polic�a desde su casa en Ohio para decir que el dibujo se parec�a a su nieta.",
8703f8e66ae6405f2bf2d40723298fff515e277d.5,"(CNN) -- There are few cities in the world blessed with a more beautiful setting than Seattle. It is {surrounded by rugged green wilderness; to the west the Olympic Mountains, to the east the volcanoes and glaciers of the Cascade Range, and all around the brisk waters of the Northwest}.",What is great about its location ?,"surrounded by rugged green wilderness ; to the west the Olympic Mountains , to the east the volcanoes and glaciers of the Cascade Range , and all around the brisk waters of the Northwest","(CNN) -- Hay pocas ciudades en el mundo bendecidas con un entorno m�s hermoso que Seattle. Est� {rodeado de escarpada naturaleza verde; al oeste las monta�as ol�mpicas, al este los volcanes y glaciares de la Cordillera de Cascada, y todo alrededor de las aguas r�pidas del Noroeste}.",
25a892ac9ba22a2f0fc6cd9a6577f84dcdc0bb2b.1,"When {People} magazine asked her about it in 2005, she chose her words carefully:",what magazine reported this,People,"Cuando la revista {People} le pregunt� sobre ello en 2005, escogi� cuidadosamente sus palabras:",
3eba518b1822e9cc8bc59317a1d3b749386adf43.9,"The survey indicates that only {18 percent} said the economic conditions in the country today are good, down 3 points from August. Eighty-two percent said economic conditions are poor.",How many people say economic conditions are good ?,18 percent,"La encuesta indica que s�lo el {18 por ciento} dijo que las condiciones econ�micas en el pa�s hoy son buenas, 3 puntos menos a partir de agosto. El 82 por ciento dijo que las condiciones econ�micas son malas.",
d22da5c151ad9d8ac0ff4cf6c860e4e87e108025.1,(CNN) -- World No. 2 {Novak Djokovic} suffered a shock defeat by sixth seed Mikhail Youzhny in the semifinals of the World Tennis Tournament in Rotterdam on Saturday.,who was defeated in world tennis tournament ?,Novak Djokovic,(CNN) -- El Mundial {Novak Djokovic} sufri� una derrota de choque por la sexta semilla Mikhail Youzhny en las semifinales del Torneo Mundial de Tenis en Rotterdam el s�bado.,
bb3b2761d6c1fd923bdfe5b2400a08609478a0d6.8,"Ercis, Turkey (CNN) -- The death toll from the massive earthquake that shook eastern Turkey over the weekend rose to 535 Thursday, up from 471 the day before, but crews have been {able to rescue 185} people alive from the rubble, Turkish officials said.",Have people been rescued alive ?,able to rescue 185,"Ercis, Turqu�a (CNN) -- El n�mero de muertos por el terremoto masivo que sacudi� al este de Turqu�a durante el fin de semana aument� a 535 el jueves, desde 471 el d�a anterior, pero las tripulaciones {han podido rescatar a 185} personas vivas de los escombros, dijeron funcionarios turcos.",
d02798f3c750b8f7e4afc3ae545e9ddf40540a9c.4,(UWIRE) -- A Web site developed th{is} year that allows students to share old exams online {is} causing debate among professors about its ethical implications.,Is the site causing debate ?,is,(UWIRE) -- Un sitio web desarrollado este a�o que permite a los estudiantes compartir ex�menes antiguos en l�nea {est�} causando debate entre los profesores sobre sus implicaciones �ticas.,"Creo que el primer is, que es parte de this, es un error. "
b4ef558a0ea5a7c1520697cec7e585785bc98bfd.8,"In 1996, President Clinton awarded Fuller the {Presidential Medal of Freedom}, the nation's highest civilian honor, calling Habitat ""the most successful continuous community service project in the history of the United States.""",What medal did he receive in 1996 ?,Presidential Medal of Freedom,"En 1996, el presidente Clinton otorg� a Fuller la {Medalla Presidencial de la Libertad}, el mayor honor civil de la naci�n, llamando a H�bitat ""el proyecto de servicio comunitario continuo m�s exitoso en la historia de los Estados Unidos"".",
8a05f8156d7757e3e0f37a330d04db1e556c9371.6,But the U.S. war on terror has some dark secrets and Obama {hasn't really wanted to talk about them}.,Has Obama complied ?,has n't really wanted to talk about them,Pero la guerra estadounidense contra el terrorismo tiene algunos secretos oscuros y Obama {no ha querido hablar de ellos}.,
3277672574a7fd311dee0c1482b9faa8c0d36941.6,"""I know the Queens community is outraged that hate has tainted their streets, and I know they will join with us in helping the local authorities find the {second suspect}.""",What is sought ?,second suspect,"""S� que la comunidad de Queens est� indignada porque el odio ha contaminado sus calles, y s� que se unir�n a nosotros para ayudar a las autoridades locales a encontrar al {segundo sospechoso}"".",
06dbe0b5a4d314e8f59551a448b47ea99b16ee56.4,Lay and Freeman could have faced up to {six months in prison} and fines if convicted. They were accused of violating a consent decree banning county school employees from initiating prayers during school events.,how much will be the sentence ?,six months in prison,Lay y Freeman podr�an haber enfrentado hasta {seis meses de prisi�n} y multas si fueran condenados. Fueron acusados de violar un decreto de consentimiento que prohib�a a los empleados escolares del condado iniciar oraciones durante los eventos escolares.,
b58189e55d61bc04e2d3a0937c059d94f9aa17e7.1,"Remarkably it will be the {fifth} time in six seasons that the teams are meeting in the final, with each winning two finals apiece prior to May's showpiece.",How many times has Roma faced Milan ?,fifth,"Sorprendentemente ser� la {quinta} vez en seis temporadas que los equipos se re�nen en la final, con cada uno ganando dos finales cada uno antes de la muestra de mayo.",
6ffc52e56343bfe00af799a6b4cb6ee8c7c8e6ca.1,Police investigators say Taliban or al Qaeda elements could have been involved and they believe the {former minister} was targeted over his supervision of operations against militants in Pakistan's tribal areas including the restive NWFP.,who was the target ?,former minister,"Los investigadores de la polic�a dicen que los talibanes o elementos de Al Qaeda podr�an haber estado involucrados y creen que el {ex ministro} fue blanco de su supervisi�n de las operaciones contra militantes en las zonas tribales de Pakist�n, incluyendo el inquieto NWFP.",
39280855cddc7319a86f51622d68933b8bd15013.4,{Football Fan Zone} presents five reasons why Cristiano Ronaldo should stay at Manchester United and five reasons why he should move to Real Madrid.,Who has urged him to stay ?,Football Fan Zone,{Football Fan Zone} presenta cinco razones por las que Cristiano Ronaldo deber�a quedarse en el Manchester United y cinco razones por las que deber�a mudarse al Real Madrid.,
1dd94dd767d0fe671d8414cb3107eac3b5cc052f.7,"JOHANNESBURG, South Africa (CNN) -- Prosecutors dropped corruption charges Monday against South Africa's ruling party president {Jacob Zuma}, who is expected to win the presidential race later this month.","Who denied claims of accepting bribes , money laundering , among others ?",Jacob Zuma,"JOHANNESBURG, Sud�frica (CNN) -- Los fiscales retiraron los cargos de corrupci�n el lunes contra el presidente del partido gobernante sudafricano {Jacob Zuma}, quien se espera que gane la carrera presidencial a finales de este mes.",
c3dc2a617f07db375a12bd45d7a8e144b0c8ad1e.5,What the critics don't see is that Obama's loss on the Olympics is America's loss. Any red-blooded American {who loves to see the American flag raised} and the national anthem played when one of our own wins a gold medal should blast the Republicans' giddiness over the loss.,What does he say Americans love to cheer for ?,who loves to see the American flag raised,Lo que los cr�ticos no ven es que la p�rdida de Obama en las Olimpiadas es la p�rdida de Estados Unidos. Cualquier estadounidense de sangre roja {a quien le encanta ver la bandera americana izada} y el himno nacional jugado cuando uno de los nuestros gana una medalla de oro deber�a aturdir a los republicanos por la p�rdida.,Cuidado con sangre roja. Es de pura sangre. 
14f42d116b19157349d07a9bc31e30eec28a56e7.4,"ATHENS, Greece (CNN) -- Greece's opposition Socialist party on Sunday defeated the incumbent center-right government of Prime Minister Kostas Karamanlis, as Socialist leader {George Papandreou} promised to chart a new course for an economic comeback.",whas is the name of the socialists Leader ?,George Papandreou,"ATENS, Grecia (CNN) -- El partido socialista de oposici�n de Grecia derrot� el domingo al actual gobierno de centro-derecha del primer ministro Kostas Karamanlis, ya que el l�der socialista {George Papandreou} prometi� trazar un nuevo rumbo para un regreso econ�mico.",
6444243677df2ff84ac4ee07988874afeefcc626.2,President Bush {announces the U.S. policy allowing cell phones to Cuba at the White House on Wednesday}.,What does Bush call for ?,announces the U.S. policy allowing cell phones to Cuba at the White House on Wednesday,El presidente Bush {anuncia el mi�rcoles en la Casa Blanca la pol�tica estadounidense de permitir que los tel�fonos celulares lleguen a Cuba}.,
45aa7e6d29ae7c957b4f80ef310df5dbf923fa02.6,Washington (CNN) -- A congressional panel investigating claims the {Dover Air Force Base} Mortuary mishandled the remains of hundreds of fallen U.S. military personnel will meet for the first time Tuesday.,where is the mortuary located ?,Dover Air Force Base,Washington (CNN) - Un panel del Congreso que investiga las afirmaciones de que la morgue de la {Base A�rea de Dover} manej� mal los restos de cientos de soldados estadounidenses ca�dos se reunir�n por primera vez el martes.,
ca892f1ea773a51a406dc3bdc37e3f8f0777aab9.6,"A Jordanian official who did not want to be identified said bin Zeid ""was killed on Wednesday in the line of duty as he was {taking part in a humanitarian mission} carried out by the Jordan Armed Forces in Afghanistan.""",what was he doing,taking part in a humanitarian mission,"Un funcionario jordano que no quer�a ser identificado dijo que bin Zeid ""fue asesinado el mi�rcoles en cumplimiento de su deber mientras {participaba en una misi�n humanitaria} llevada a cabo por las Fuerzas Armadas Jordanas en Afganist�n"".",
ac56bd50e449bfa1d7b923415afa2ae5f7c83392.1,"""After talking with that juvenile, he {admitted to playing with matches, and accidentally starting the} fire in that area,"" he said. Watch what's next for young suspect �",DId he start the fire ?,"admitted to playing with matches , and accidentally starting the","""Despu�s de hablar con ese menor, {admiti� jugar con partidos, y accidentalmente iniciar el} fuego en esa zona"", dijo. Mira lo que sigue para el joven sospechoso �",Cuidado que ac� matches es f�sforos.
